Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
2688.42     0.0270    78360.6408    11.7371    11.4151    0.0018    0.0018    1.4798    0.1261    0.0262 
2697.68     0.0268    78347.2889    11.7371    11.4157    0.0018    0.0018    1.4798    0.1261    0.0260 
2708.82     0.0266    78331.2802    11.7371    11.4163    0.0018    0.0018    1.4798    0.1261    0.0258 
2718.13     0.0264    78317.9510    11.7371    11.4168    0.0018    0.0018    1.4798    0.1261    0.0256 
2731.20     0.0261    78299.3072    11.7371    11.4176    0.0018    0.0018    1.4798    0.1261    0.0253 
2740.57     0.0259    78286.0024    11.7371    11.4181    0.0018    0.0018    1.4798    0.1261    0.0251 
2748.08     0.0258    78275.3659    11.7371    11.4185    0.0018    0.0018    1.4798    0.1261    0.0250 
2761.26     0.0255    78256.7678    11.7371    11.4193    0.0018    0.0018    1.4798    0.1261    0.0247 
2772.60     0.0253    78240.8423    11.7371    11.4199    0.0017    0.0018    1.4798    0.1261    0.0245 
2785.88     0.0250    78222.2809    11.7371    11.4206    0.0017    0.0018    1.4798    0.1261    0.0243 
3024.69     0.0285    77795.4618    12.3702    12.0206    0.0015    0.0018    1.3818    0.1117    0.0275 
3049.39     0.0280    77775.6363    12.3702    12.0218    0.0015    0.0018    1.3818    0.1117    0.0271 
3063.87     0.0278    77764.0969    12.3702    12.0225    0.0015    0.0018    1.3818    0.1117    0.0268 
3074.24     0.0276    77755.8659    12.3702    12.0230    0.0015    0.0018    1.3818    0.1117    0.0267 
3088.80     0.0273    77744.3584    12.3702    12.0237    0.0015    0.0018    1.3818    0.1117    0.0264 
3092.98     0.0273    77741.0740    12.3702    12.0239    0.0015    0.0018    1.3818    0.1117    0.0263 

